,other,happiness,sad,neutral,anger,fear,image
0,0.049552374,0.6458477,0.080629185,0.15113164,0.05700444,0.01583465,tmp/video/0.jpg
1,0.03474374,0.83016443,0.03811235,0.08951189,0.006996911,0.0004706239,tmp/video/24.jpg
2,0.5929949,0.17224376,0.05017034,0.13537379,0.03922197,0.009995153,tmp/video/48.jpg
3,0.054255303,0.024815097,0.14623778,0.7678834,0.0051979446,0.0016104846,tmp/video/72.jpg
4,0.07497102,0.19254065,0.079666235,0.6276112,0.025120601,9.0198286e-05,tmp/video/96.jpg
5,0.12803742,0.026783027,0.10813996,0.65978736,0.07451913,0.0027331922,tmp/video/144.jpg
6,0.048684854,0.086935624,0.13119356,0.711372,0.006725494,0.015088431,tmp/video/168.jpg
